File,Real,Imaginary,Phase,Magnitude,Labels
iqs_1740128459_1.csv,-2.0,2.0,2.356194490192345,9.030899869919436,5
iqs_1740128459_1.csv,-2.0,0.0,3.141592653589793,6.020599913279624,5
iqs_1740128459_1.csv,-1.0,3.0,1.8925468811915387,10.0,5
iqs_1740128459_1.csv,-2.0,0.0,3.141592653589793,6.020599913279624,5
iqs_1740128459_1.csv,-3.0,1.0,2.819842099193151,10.0,5
iqs_1740128459_1.csv,-2.0,-1.0,-2.677945044588987,6.989700043360188,5
iqs_1740128459_1.csv,-2.0,1.0,2.677945044588987,6.989700043360188,5
iqs_1740128459_1.csv,-3.0,2.0,2.5535900500422253,11.13943352306837,5
iqs_1740128459_1.csv,1.0,2.0,1.1071487177940904,6.989700043360188,5
iqs_1740128459_1.csv,4.0,-5.0,-0.8960553845713438,16.127838567197355,5
iqs_1740128459_1.csv,-2.0,1.0,2.677945044588987,6.989700043360188,5
iqs_1740128459_1.csv,-2.0,1.0,2.677945044588987,6.989700043360188,5
iqs_1740128459_1.csv,4.0,1.0,0.24497866312686417,12.30448921378274,5
iqs_1740128459_1.csv,-4.0,-2.0,-2.677945044588987,13.010299956639813,5
iqs_1740128459_1.csv,0.0,-5.0,-1.5707963267948966,13.979400086720377,5
iqs_1740128459_1.csv,0.0,-1.0,-1.5707963267948966,0.0,5
iqs_1740128459_1.csv,-3.0,-2.0,-2.5535900500422253,11.13943352306837,5
iqs_1740128459_1.csv,1.0,-2.0,-1.1071487177940904,6.989700043360188,5
iqs_1740128459_1.csv,-1.0,-2.0,-2.0344439357957027,6.989700043360188,5
iqs_1740128459_1.csv,2.0,0.0,0.0,6.020599913279624,5
iqs_1740128459_1.csv,1.0,-1.0,-0.7853981633974483,3.0102999566398125,5
iqs_1740128459_1.csv,-1.0,-3.0,-1.8925468811915387,10.0,5
iqs_1740128459_1.csv,3.0,6.0,1.1071487177940904,16.532125137753436,5
iqs_1740128459_1.csv,3.0,4.0,0.9272952180016121,13.979400086720377,5
iqs_1740128459_1.csv,-1.0,0.0,3.141592653589793,0.0,5
iqs_1740128459_1.csv,-2.0,2.0,2.356194490192345,9.030899869919436,5
iqs_1740128459_1.csv,-1.0,-2.0,-2.0344439357957027,6.989700043360188,5
iqs_1740128459_1.csv,2.0,-3.0,-0.9827937232473289,11.13943352306837,5
iqs_1740128459_1.csv,-1.0,-2.0,-2.0344439357957027,6.989700043360188,5
iqs_1740128459_1.csv,-2.0,-1.0,-2.677945044588987,6.989700043360188,5
iqs_1740128459_1.csv,3.0,1.0,0.3217505543966422,10.0,5
iqs_1740128459_1.csv,-1.0,2.0,2.0344439357957027,6.989700043360188,5
iqs_1740128459_1.csv,1.0,3.0,1.2490457723982544,10.0,5
iqs_1740128459_1.csv,-1.0,-3.0,-1.8925468811915387,10.0,5
iqs_1740128459_1.csv,1.0,-2.0,-1.1071487177940904,6.989700043360188,5
iqs_1740128459_1.csv,-3.0,-2.0,-2.5535900500422253,11.13943352306837,5
iqs_1740128459_1.csv,-1.0,-1.0,-2.356194490192345,3.0102999566398125,5
iqs_1740128459_1.csv,2.0,1.0,0.46364760900080615,6.989700043360188,5
iqs_1740128459_1.csv,1.0,0.0,0.0,0.0,5
iqs_1740128459_1.csv,-6.0,2.0,2.819842099193151,16.020599913279625,5
iqs_1740128459_1.csv,1.0,-2.0,-1.1071487177940904,6.989700043360188,5
